,MSSubClass,MSZoning,LotArea,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
27,SC20,RL,11478,4,Lvl,Inside,3,NridgHt,Norm,1Fam,1Story,8,5,2007,2008,Gable,VinylSd,VinylSd,Stone,200.0,4,3,PConc,5,3,0,6,1218,1,0,486,1704,5,Y,SBrkr,1704,0,0,1704,1,0,2,0,3,4,7,8,1,Attchd,2008.0,RFn,3,772,3,3,2,0,50,0,0,0,0,May,2010,WD,Normal,306000
28,SC20,RL,16321,3,Lvl,CulDSac,3,NAmes,Norm,1Fam,1Story,5,6,1957,1997,Gable,MetalSd,MetalSd,None,0.0,3,3,CBlock,3,3,3,4,1277,1,0,207,1484,3,Y,SBrkr,1600,0,0,1600,1,0,1,0,2,3,6,8,2,Attchd,1957.0,RFn,1,319,3,3,2,288,258,0,0,0,0,Dec,2006,WD,Normal,207500
29,SC30,RM,6324,3,Lvl,Inside,3,BrkSide,Feedr,1Fam,1Story,4,6,1927,1950,Gable,MetalSd,MetalSd,None,0.0,3,3,BrkTil,3,3,0,1,0,1,0,520,520,2,N,SBrkr,520,0,0,520,0,0,1,0,1,2,4,8,0,Detchd,1920.0,Unf,1,240,2,3,2,49,0,87,0,0,0,May,2008,WD,Normal,68500
30,SC70,C (all),8500,4,Lvl,Inside,3,IDOTRR,Feedr,1Fam,2Story,4,4,1920,1950,Gambrel,BrkFace,BrkFace,None,0.0,3,2,BrkTil,3,3,0,1,0,1,0,649,649,3,N,SBrkr,649,668,0,1317,0,0,1,0,3,3,6,8,0,Detchd,1920.0,Unf,1,250,3,2,0,0,54,172,0,0,0,Jul,2008,WD,Normal,40000
31,SC20,RL,8544,3,Lvl,CulDSac,3,Sawyer,Norm,1Fam,1Story,5,6,1966,2006,Gable,HdBoard,HdBoard,None,0.0,3,3,CBlock,3,3,0,1,0,1,0,1228,1228,4,Y,SBrkr,1228,0,0,1228,0,0,1,1,3,4,6,8,0,Attchd,1966.0,Unf,1,271,3,3,2,0,65,0,0,0,0,Jun,2008,WD,Normal,149350
32,SC20,RL,11049,4,Lvl,Corner,3,CollgCr,Norm,1Fam,1Story,8,5,2007,2007,Gable,VinylSd,VinylSd,None,0.0,4,3,PConc,5,3,2,1,0,1,0,1234,1234,5,Y,SBrkr,1234,0,0,1234,0,0,2,0,3,4,7,8,0,Attchd,2007.0,RFn,2,484,3,3,2,0,30,0,0,0,0,Jan,2008,WD,Normal,179900
33,SC20,RL,10552,3,Lvl,Inside,3,NAmes,Norm,1Fam,1Story,5,5,1959,1959,Hip,BrkFace,BrkFace,None,0.0,3,3,CBlock,3,3,0,3,1018,1,0,380,1398,4,Y,SBrkr,1700,0,0,1700,0,1,1,1,4,4,6,8,1,Attchd,1959.0,RFn,2,447,3,3,2,0,38,0,0,0,0,Apr,2010,WD,Normal,165500
34,SC120,RL,7313,4,Lvl,Inside,3,NridgHt,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,MetalSd,MetalSd,BrkFace,246.0,5,3,PConc,5,3,0,6,1153,1,0,408,1561,5,Y,SBrkr,1561,0,0,1561,1,0,2,0,2,5,6,8,1,Attchd,2005.0,Fin,2,556,3,3,2,203,47,0,0,0,0,Aug,2007,WD,Normal,277500
35,SC60,RL,13418,4,Lvl,Inside,3,NridgHt,Norm,1Fam,2Story,8,5,2004,2005,Gable,VinylSd,VinylSd,Stone,132.0,4,3,PConc,5,3,2,1,0,1,0,1117,1117,5,Y,SBrkr,1132,1320,0,2452,0,0,3,1,4,4,9,8,1,BuiltIn,2004.0,Fin,3,691,3,3,2,113,32,0,0,0,0,Sep,2006,WD,Normal,309000
36,SC20,RL,10859,4,Lvl,Corner,3,CollgCr,Norm,1Fam,1Story,5,5,1994,1995,Gable,VinylSd,VinylSd,None,0.0,3,3,PConc,4,3,0,1,0,1,0,1097,1097,5,Y,SBrkr,1097,0,0,1097,0,0,1,1,3,3,6,8,0,Attchd,1995.0,Unf,2,672,3,3,2,392,64,0,0,0,0,Jun,2009,WD,Normal,145000
37,SC20,RL,8532,4,Lvl,Inside,3,NAmes,Norm,1Fam,1Story,5,6,1954,1990,Hip,Wd Sdng,Wd Sdng,BrkFace,650.0,3,3,CBlock,3,3,0,3,1213,1,0,84,1297,4,Y,SBrkr,1297,0,0,1297,0,1,1,0,3,3,5,8,1,Attchd,1954.0,Fin,2,498,3,3,2,0,0,0,0,0,0,Oct,2009,WD,Normal,153000
38,SC20,RL,7922,4,Lvl,Inside,3,NAmes,Norm,1Fam,1Story,5,7,1953,2007,Gable,VinylSd,VinylSd,None,0.0,3,4,CBlock,3,3,0,6,731,1,0,326,1057,3,Y,SBrkr,1057,0,0,1057,1,0,1,0,3,4,5,8,0,Detchd,1953.0,Unf,1,246,3,3,2,0,52,0,0,0,0,Jan,2010,WD,Abnorml,109000
39,SC90,RL,6040,4,Lvl,Inside,3,Edwards,Norm,Duplex,1Story,4,5,1955,1955,Gable,AsbShng,Plywood,None,0.0,3,3,PConc,0,0,0,0,0,0,0,0,0,3,N,FuseP,1152,0,0,1152,0,0,2,0,2,2,6,8,0,No,1955.0,No,0,0,0,0,0,0,0,0,0,0,0,Jun,2008,WD,AdjLand,82000
40,SC20,RL,8658,4,Lvl,Inside,3,NAmes,Norm,1Fam,1Story,6,5,1965,1965,Gable,Wd Sdng,Wd Sdng,BrkFace,101.0,3,3,CBlock,3,3,0,3,643,1,0,445,1088,5,Y,SBrkr,1324,0,0,1324,0,0,2,0,3,3,6,8,1,Attchd,1965.0,RFn,2,440,3,3,2,0,138,0,0,0,0,Dec,2006,WD,Abnorml,160000
41,SC20,RL,16905,4,Lvl,Inside,3,Timber,Norm,1Fam,1Story,5,6,1959,1959,Gable,VinylSd,VinylSd,None,0.0,3,4,CBlock,3,3,3,4,967,1,0,383,1350,4,Y,SBrkr,1328,0,0,1328,0,1,1,1,2,3,5,8,2,Attchd,1959.0,RFn,1,308,3,3,1,0,104,0,0,0,0,Jul,2007,WD,Normal,170000
42,SC85,RL,9180,3,Lvl,CulDSac,3,SawyerW,Norm,1Fam,SFoyer,5,7,1983,1983,Gable,HdBoard,HdBoard,None,0.0,3,3,CBlock,4,3,2,5,747,2,93,0,840,4,Y,SBrkr,884,0,0,884,1,0,1,0,2,4,5,8,0,Attchd,1983.0,RFn,2,504,3,4,2,240,0,0,0,0,0,Dec,2007,WD,Normal,144000
43,SC20,RL,9200,3,Lvl,CulDSac,3,CollgCr,Norm,1Fam,1Story,5,6,1975,1980,Hip,VinylSd,VinylSd,None,0.0,3,3,CBlock,4,3,2,2,280,4,491,167,938,3,Y,SBrkr,938,0,0,938,1,0,1,0,3,3,5,8,0,Detchd,1977.0,Unf,1,308,3,3,2,145,0,0,0,0,0,Jul,2008,WD,Normal,130250
44,SC20,RL,7945,4,Lvl,Inside,3,NAmes,Norm,1Fam,1Story,5,6,1959,1959,Gable,BrkFace,Wd Sdng,None,0.0,3,3,CBlock,3,3,0,5,179,4,506,465,1150,5,Y,FuseA,1150,0,0,1150,1,0,1,0,3,3,6,8,0,Attchd,1959.0,RFn,1,300,3,3,2,0,0,0,0,0,0,May,2006,WD,Normal,141000
45,SC120,RL,7658,4,Lvl,Inside,3,NridgHt,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,MetalSd,MetalSd,BrkFace,412.0,5,3,PConc,5,3,0,6,456,1,0,1296,1752,5,Y,SBrkr,1752,0,0,1752,1,0,2,0,2,5,6,8,1,Attchd,2005.0,RFn,2,576,3,3,2,196,82,0,0,0,0,Feb,2010,WD,Normal,319900
46,SC50,RL,12822,3,Lvl,CulDSac,3,Mitchel,Norm,1Fam,1.5Fin,7,5,2003,2003,Gable,VinylSd,VinylSd,None,0.0,4,3,PConc,5,3,0,6,1351,1,0,83,1434,5,Y,SBrkr,1518,631,0,2149,1,0,1,1,1,4,6,8,1,Attchd,2003.0,RFn,2,670,3,3,2,168,43,0,0,198,0,Aug,2009,WD,Abnorml,239686
47,SC20,FV,11096,4,Lvl,Inside,3,Somerst,Norm,1Fam,1Story,8,5,2006,2006,Gable,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,2,6,24,1,0,1632,1656,5,Y,SBrkr,1656,0,0,1656,0,0,2,0,3,4,7,8,0,Attchd,2006.0,RFn,3,826,3,3,2,0,146,0,0,0,0,Jul,2007,WD,Normal,249700
48,SC190,RM,4456,4,Lvl,Inside,3,OldTown,Norm,2fmCon,2Story,4,5,1920,2008,Gable,MetalSd,MetalSd,None,0.0,3,3,BrkTil,3,3,0,1,0,1,0,736,736,4,Y,SBrkr,736,716,0,1452,0,0,2,0,2,3,8,8,0,No,1920.0,No,0,0,0,0,0,0,0,102,0,0,0,Jun,2009,New,Partial,113000
49,SC20,RL,7742,4,Lvl,Inside,3,Sawyer,Norm,1Fam,1Story,5,7,1966,1966,Gable,HdBoard,HdBoard,None,0.0,3,3,CBlock,3,3,0,4,763,1,0,192,955,5,Y,SBrkr,955,0,0,955,1,0,1,0,3,3,6,8,0,Attchd,1966.0,Unf,1,386,3,3,2,0,0,0,0,0,0,Jan,2007,WD,Normal,127000
50,SC60,RL,13869,2,Lvl,Corner,3,Gilbert,Norm,1Fam,2Story,6,6,1997,1997,Gable,VinylSd,VinylSd,None,0.0,3,3,PConc,4,3,2,6,182,1,0,612,794,4,Y,SBrkr,794,676,0,1470,0,1,2,0,3,3,6,8,0,Attchd,1997.0,Fin,2,388,3,3,2,0,75,0,0,0,0,Jul,2007,WD,Normal,177000
51,SC50,RM,6240,4,Lvl,Inside,3,BrkSide,Norm,1Fam,1.5Fin,6,6,1934,1950,Gable,Wd Sdng,Wd Sdng,None,0.0,3,3,PConc,3,3,0,1,0,1,0,816,816,3,Y,SBrkr,816,0,360,1176,0,0,1,0,3,3,6,8,1,Detchd,1985.0,Unf,2,528,3,3,2,112,0,0,0,0,400,Sep,2006,WD,Normal,114500
52,SC90,RM,8472,2,Bnk,Corner,2,IDOTRR,RRNn,Duplex,1Story,5,5,1963,1963,Gable,Wd Sdng,Wd Sdng,None,0.0,2,3,CBlock,4,3,3,2,104,6,712,0,816,3,N,SBrkr,816,0,0,816,1,0,1,0,2,3,5,8,0,CarPort,1963.0,Unf,2,516,3,3,2,106,0,0,0,0,0,May,2010,WD,Normal,110000
53,SC20,RL,50271,3,Low,Inside,3,Veenker,Norm,1Fam,1Story,9,5,1981,1987,Gable,WdShing,Wd Shng,None,0.0,4,3,CBlock,5,3,3,6,1810,1,0,32,1842,4,Y,SBrkr,1842,0,0,1842,2,0,0,1,0,4,5,8,1,Attchd,1981.0,Fin,3,894,3,3,2,857,72,0,0,0,0,Nov,2006,WD,Normal,385000
54,SC80,RL,7134,4,Bnk,Inside,2,NAmes,Norm,1Fam,SLvl,5,5,1955,1955,Gable,MetalSd,MetalSd,None,0.0,3,3,CBlock,3,3,0,5,384,1,0,0,384,3,Y,SBrkr,1360,0,0,1360,0,0,1,0,3,3,6,7,1,Detchd,1962.0,Unf,2,572,3,3,2,0,50,0,0,0,0,Feb,2007,WD,Normal,130000
55,SC20,RL,10175,3,Lvl,Inside,3,NAmes,Norm,1Fam,1Story,6,5,1964,1964,Gable,HdBoard,Plywood,BrkFace,272.0,3,3,CBlock,3,3,0,4,490,1,0,935,1425,4,Y,SBrkr,1425,0,0,1425,0,0,2,0,3,3,7,8,1,Attchd,1964.0,RFn,2,576,3,3,2,0,0,0,407,0,0,Jul,2008,WD,Normal,180500
56,SC160,FV,2645,4,Lvl,Inside,3,Somerst,Norm,Twnhs,2Story,8,5,1999,2000,Gable,MetalSd,MetalSd,BrkFace,456.0,4,3,PConc,4,3,0,6,649,1,0,321,970,5,Y,SBrkr,983,756,0,1739,1,0,2,1,3,4,7,8,0,Attchd,1999.0,Fin,2,480,3,3,2,115,0,0,0,0,0,Aug,2009,WD,Abnorml,172500
57,SC60,RL,11645,3,Lvl,Corner,3,CollgCr,Norm,1Fam,2Story,7,5,2004,2004,Gable,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,0,1,0,1,0,860,860,5,Y,SBrkr,860,860,0,1720,0,0,2,1,3,4,7,8,0,Attchd,2004.0,RFn,2,565,3,3,2,0,70,0,0,0,0,Aug,2006,WD,Normal,196500
58,SC60,RL,13682,2,HLS,CulDSac,3,StoneBr,Norm,1Fam,2Story,10,5,2006,2006,Hip,VinylSd,VinylSd,BrkFace,1031.0,5,3,PConc,5,3,3,1,0,1,0,1410,1410,5,Y,SBrkr,1426,1519,0,2945,0,0,3,1,3,4,10,8,1,BuiltIn,2006.0,Fin,3,641,3,3,2,192,0,37,0,0,0,Oct,2006,New,Partial,438780
59,SC20,RL,7200,4,Bnk,Inside,3,CollgCr,Norm,1Fam,1Story,5,7,1972,1972,Gable,HdBoard,HdBoard,None,0.0,3,3,CBlock,3,3,2,5,632,1,0,148,780,5,Y,SBrkr,780,0,0,780,0,0,1,0,2,3,4,8,0,Detchd,1973.0,Unf,1,352,3,3,2,196,0,0,0,0,0,Jan,2008,WD,Normal,124900
60,SC20,RL,13072,4,Lvl,Inside,3,SawyerW,RRAe,1Fam,1Story,6,5,2004,2004,Gable,VinylSd,VinylSd,None,0.0,3,3,PConc,4,3,0,5,941,1,0,217,1158,5,Y,SBrkr,1158,0,0,1158,1,0,1,1,3,4,5,8,0,Detchd,2006.0,Unf,2,576,3,3,2,0,50,0,0,0,0,May,2006,New,Partial,158000
61,SC75,RM,7200,4,Lvl,Inside,3,IDOTRR,Norm,1Fam,2.5Unf,5,7,1920,1996,Gable,MetalSd,MetalSd,None,0.0,3,3,BrkTil,3,2,0,1,0,1,0,530,530,3,N,SBrkr,581,530,0,1111,0,0,1,0,3,2,6,8,0,Detchd,1935.0,Unf,1,288,3,3,0,0,0,144,0,0,0,Mar,2007,WD,Normal,101000
62,SC120,RL,6442,3,Lvl,Inside,3,NridgHt,Norm,TwnhsE,1Story,8,5,2006,2006,Gable,VinylSd,VinylSd,Stone,178.0,4,3,PConc,4,4,1,6,24,1,0,1346,1370,5,Y,SBrkr,1370,0,0,1370,0,0,2,0,2,4,6,8,1,Attchd,2006.0,RFn,2,484,3,3,2,120,49,0,0,0,0,Oct,2007,WD,Normal,202500
63,SC70,RM,10300,3,Bnk,Inside,3,OldTown,RRAn,1Fam,2Story,7,6,1921,1950,Gable,Stucco,Stucco,None,0.0,3,3,BrkTil,3,3,0,1,0,1,0,576,576,4,Y,SBrkr,902,808,0,1710,0,0,2,0,3,3,9,8,0,Detchd,1990.0,Unf,2,480,3,3,2,12,11,64,0,0,0,Apr,2010,WD,Normal,140000
64,SC60,RL,9375,4,Lvl,Inside,3,CollgCr,Norm,1Fam,2Story,7,5,1997,1998,Gable,VinylSd,VinylSd,BrkFace,573.0,3,3,PConc,4,3,0,6,739,1,0,318,1057,5,Y,SBrkr,1057,977,0,2034,1,0,2,1,3,4,8,8,0,Attchd,1998.0,RFn,2,645,3,3,2,576,36,0,0,0,0,Feb,2009,WD,Normal,219500
65,SC60,RL,9591,4,Lvl,Inside,3,NridgHt,Norm,1Fam,2Story,8,5,2004,2005,Gable,VinylSd,VinylSd,BrkFace,344.0,4,3,PConc,5,3,2,1,0,1,0,1143,1143,5,Y,SBrkr,1143,1330,0,2473,0,0,2,1,4,4,9,8,1,BuiltIn,2004.0,RFn,3,852,3,3,2,192,151,0,0,0,0,Oct,2007,WD,Normal,317000
